label, instruction count (core 0), privileged instruction count (core 0), cache stats ...
label, instruction count (core 0), privileged instruction count (core 0), cache stats ...
11, 406692218, 363305446, 
10, 406692220, 363305446, 
10, 406929463, 363341480, 
10, 406929465, 363341480, 
1000, 406929478, 363341480, 
1000, 406980255, 363390455, 
1000, 406994774, 363404591, 
1000, 409228183, 364870214, 
201, 409228456, 364870486, 
200, 409228458, 364870488, 
200, 409233460, 364875490, 
200, 409233464, 364875494, 
200, 409238631, 364880661, 
100, 409238663, 364880693, 
100, 409243226, 364885256, 
100, 409243247, 364885277, 
100, 409248210, 364890240, 
101, 409248236, 364890266, 
101, 409253217, 364895247, 
102, 409253241, 364895271, 
102, 409258222, 364900252, 
103, 409258246, 364900276, 
103, 409263227, 364905257, 
104, 409263251, 364905281, 
104, 409268212, 364910242, 
105, 409268236, 364910266, 
105, 409273217, 364915247, 
106, 409273241, 364915271, 
106, 409278222, 364920252, 
107, 409278246, 364920276, 
107, 409283227, 364925257, 
108, 409283251, 364925281, 
108, 409288212, 364930242, 
100, 409288236, 364930266, 
100, 409298219, 364940249, 
201, 409298221, 364940251, 
10, 409298341, 364940325, 
11, 409298343, 364940325, 
10, 409298345, 364940325, 
10, 409302706, 364944610, 
10, 409318508, 364954344, 
10, 409321244, 364957000, 
0, 409332927, 364962673, 
0, 409333948, 364963305, 
0, 409333950, 364963305, 
0, 409338450, 364963305, 
1, 409343882, 364966418, 
1, 409344256, 364966418, 
1, 409344258, 364966418, 
1, 409348462, 364966418, 
2, 409353894, 364969531, 
2, 409354268, 364969531, 
2, 409354270, 364969531, 
2, 409358474, 364969531, 
3, 409363906, 364972644, 
3, 409364280, 364972644, 
3, 409364282, 364972644, 
3, 409368486, 364972644, 
4, 409373918, 364975757, 
4, 409374292, 364975757, 
4, 409374294, 364975757, 
4, 409378498, 364975757, 
5, 409383930, 364978870, 
5, 409384304, 364978870, 
5, 409384306, 364978870, 
5, 409388510, 364978870, 
6, 409393942, 364981983, 
6, 409394316, 364981983, 
6, 409394318, 364981983, 
6, 409398522, 364981983, 
7, 409403954, 364985096, 
7, 409404328, 364985096, 
7, 409404330, 364985096, 
7, 409408534, 364985096, 
8, 409413966, 364988209, 
8, 409414340, 364988209, 
8, 409414342, 364988209, 
8, 409418546, 364988209, 
9, 409423978, 364991322, 
9, 409424352, 364991322, 
9, 409424354, 364991322, 
9, 409428558, 364991322, 
