label, instruction count (core 0), privileged instruction count (core 0), cache stats ...
label, instruction count (core 0), privileged instruction count (core 0), cache stats ...
11, 416145538, 372746210, 
10, 416145540, 372746210, 
10, 416382783, 372782244, 
10, 416382785, 372782244, 
1000, 416382798, 372782244, 
1000, 416434115, 372831759, 
1000, 416448634, 372845895, 
1000, 418682489, 374311836, 
201, 418682762, 374312108, 
200, 418682764, 374312110, 
200, 418687766, 374317112, 
200, 418687770, 374317116, 
200, 418692937, 374322283, 
100, 418692969, 374322315, 
100, 418697532, 374326878, 
100, 418697553, 374326899, 
100, 418702516, 374331862, 
101, 418702542, 374331888, 
101, 418707523, 374336869, 
102, 418707547, 374336893, 
102, 418712528, 374341874, 
103, 418712552, 374341898, 
103, 418717533, 374346879, 
104, 418717557, 374346903, 
104, 418722518, 374351864, 
105, 418722542, 374351888, 
105, 418727523, 374356869, 
106, 418727547, 374356893, 
106, 418732528, 374361874, 
107, 418732552, 374361898, 
107, 418737533, 374366879, 
108, 418737557, 374366903, 
108, 418742518, 374371864, 
100, 418742542, 374371888, 
100, 418752525, 374381871, 
201, 418752527, 374381873, 
10, 418752647, 374381947, 
10, 418752649, 374381947, 
10, 418759748, 374388900, 
11, 418759750, 374388900, 
0, 418787229, 374404431, 
0, 418788250, 374405063, 
0, 418788252, 374405063, 
0, 418792752, 374405063, 
1, 418798184, 374408176, 
1, 418798558, 374408176, 
1, 418798560, 374408176, 
1, 418802764, 374408176, 
2, 418808196, 374411289, 
2, 418808570, 374411289, 
2, 418808572, 374411289, 
2, 418812776, 374411289, 
3, 418818208, 374414402, 
3, 418818582, 374414402, 
3, 418818584, 374414402, 
3, 418822788, 374414402, 
4, 418828220, 374417515, 
4, 418828594, 374417515, 
4, 418828596, 374417515, 
4, 418832800, 374417515, 
5, 418838232, 374420628, 
5, 418838606, 374420628, 
5, 418838608, 374420628, 
5, 418842812, 374420628, 
6, 418848244, 374423741, 
6, 418848618, 374423741, 
6, 418848620, 374423741, 
6, 418852824, 374423741, 
7, 418858256, 374426854, 
7, 418858630, 374426854, 
7, 418858632, 374426854, 
7, 418862836, 374426854, 
8, 418868268, 374429967, 
8, 418868642, 374429967, 
8, 418868644, 374429967, 
8, 418872848, 374429967, 
9, 418878280, 374433080, 
9, 418878654, 374433080, 
9, 418878656, 374433080, 
9, 418882860, 374433080, 
