label, instruction count (core 0), privileged instruction count (core 0), cache stats ...
label, instruction count (core 0), privileged instruction count (core 0), cache stats ...
1000, 857086510, 800779200, 
1000, 857137401, 800825584, 
1000, 857152360, 800838656, 
1000, 866175125, 808784482, 
201, 866175398, 808784747, 
200, 866175400, 808784749, 
200, 866180402, 808789751, 
200, 866180406, 808789755, 
200, 866185573, 808794922, 
100, 866185605, 808794954, 
100, 866185868, 808795217, 
100, 866185889, 808795238, 
100, 866186012, 808795361, 
101, 866186038, 808795387, 
101, 866186339, 808795688, 
102, 866186363, 808795712, 
102, 866186564, 808795913, 
103, 866186588, 808795937, 
103, 866186789, 808796138, 
104, 866186813, 808796162, 
104, 866187014, 808796363, 
105, 866187038, 808796387, 
105, 866187239, 808796588, 
106, 866187263, 808796612, 
106, 866187464, 808796813, 
107, 866187488, 808796837, 
107, 866187769, 808797118, 
108, 866187793, 808797142, 
108, 866187994, 808797343, 
100, 866188018, 808797367, 
100, 866188381, 808797730, 
201, 866188383, 808797732, 
47806, 866188508, 808797835, 
47806, 866209838, 808804464, 
47806, 866216719, 808807585, 
47806, 866234691, 808811861, 
47806, 866238424, 808813706, 
47806, 866256361, 808817948, 
47806, 866260098, 808819790, 
47806, 866278149, 808824147, 
47806, 866281886, 808825994, 
47806, 866299945, 808830352, 
47806, 866303682, 808832194, 
47806, 866321749, 808836567, 
47806, 866325486, 808838414, 
47806, 866343630, 808842863, 
47806, 866347367, 808844705, 
47806, 866365465, 808849109, 
47806, 866369202, 808850956, 
47806, 866387326, 808855385, 
47806, 866391063, 808857227, 
47806, 866409171, 808861641, 
47806, 866412908, 808863488, 
47806, 866431050, 808867937, 
47806, 866434977, 808869807, 
47806, 866453158, 808874290, 
47806, 866457085, 808876159, 
47806, 866475297, 808880678, 
47806, 866479224, 808882548, 
47806, 866497415, 808887041, 
47806, 866501342, 808888910, 
47806, 866519606, 808893481, 
47806, 866523533, 808895351, 
47806, 866541878, 808899998, 
47806, 866545805, 808901867, 
47806, 866564067, 808906436, 
47806, 866567994, 808908306, 
47806, 866589052, 808915666, 
47806, 866592979, 808917535, 
47806, 866611206, 808922065, 
47806, 866615133, 808923933, 
47806, 866633385, 808928483, 
47806, 866637312, 808930350, 
47806, 866655616, 808934957, 
47806, 866659543, 808936825, 
47806, 866677805, 808941391, 
47806, 866681732, 808943258, 
47806, 866700079, 808947908, 
47806, 866704006, 808949776, 
47806, 866722277, 808954351, 
47806, 866726204, 808956218, 
47806, 866744551, 808960868, 
47806, 866748478, 808962736, 
47806, 866766740, 808967302, 
47806, 866770667, 808969169, 
47806, 866789034, 808973833, 
47806, 866792961, 808975701, 
47806, 866811408, 808980452, 
47806, 866815335, 808982319, 
47806, 866833682, 808986969, 
47806, 866837609, 808988837, 
47806, 866855908, 808993440, 
47806, 866859835, 808995307, 
47806, 866878385, 809000160, 
47806, 866882312, 809002028, 
47806, 866900611, 809006631, 
